real,imag
3.99245e-13,-3.02178e-29
-2.46747e-13,1.86756e-29
0.687365,0.39685
-0.687365,0.39685
1.14794e-41,-0.793701
0.600468,0.346681
9.40395e-38,-9.40395e-38
-0.600468,0.346681
-1.12104e-44,-0.693361
0.646835,0.37345
2.97698e-13,4.06012e-13
-0.646835,0.37345
-1.83988e-13,-2.50929e-13
5.04802e-30,-0.746901
0.447744,0.258505
0.617099,0.356282
-0.447744,0.258505
-0.617099,0.356282
2.3713e-33,-0.51701
7.7913e-33,-0.712565
0.487452,0.28143
0.640747,0.369936
0,0
-0.640747,0.369936
-0.487452,0.28143
-1.36846e-48,-0.739871
5.21895e-33,-0.562861
0.583052,0.336625
0.616929,0.356184
3.88392e-13,4.29116e-13
-0.583052,0.336625
-0.616929,0.356184
-2.40039e-13,-2.65208e-13
3.12772e-194,-0.712369
1.04179e-195,-0.67325
0.324672,0.187449
0.639642,0.369298
0.576108,0.332616
-0.324672,0.187449
-0.639642,0.369298
-0.576108,0.332616
6.76466e-33,-0.665232
-7.90087e-32,-0.738595
-2.8026e-45,-0.374898
0.396684,0.229025
0.629284,0.344784
0.613233,0.372584
-0.396684,0.229025
-0.613233,0.372584
-0.629284,0.344784
-1.46937e-38,1.76324e-38
-0.0160507,-0.717368
0.0160507,-0.717368
-3.28429e-47,-0.458051
0.484481,0.279715
0.639829,0.369405
0.603444,0.348398
-1.06285e-13,4.67195e-13
-0.603444,0.348398
-0.639829,0.369405
-0.484481,0.279715
6.56875e-14,-2.88742e-13
7.9651e-29,-0.696797
-1.59824e-29,-0.738811
7.29353e-30,-0.55943
0.514499,0.297046
0.636223,0.350096
0.621303,0.375937
0.256125,0.147874
-0.514499,0.297046
-0.621303,0.375937
-0.636223,0.350096
-0.256125,0.147874
-9.18019e-31,-0.594093
-0.0149194,-0.726033
0.0149194,-0.726033
-2.9935e-49,-0.295748
0.560168,0.323413
0.611774,0.353208
0.64007,0.369545
0.332243,0.191821
-0.332243,0.191821
-0.560168,0.323413
-0.64007,0.369545
-0.611774,0.353208
1.30965e-49,1.92439e-49
1.43622e-30,-0.646826
-3.86711e-30,-0.739089
4.65871e-30,-0.706416
-2.71453e-51,-0.383642
0.412826,0.238345
0.638421,0.353435
0.625294,0.376172
0.568129,0.32801
3.53152e-13,1.65255e-13
-0.568129,0.32801
-0.625294,0.376172
-0.638421,0.353435
-0.412826,0.238345
1.18433e-185,-0.47669
3.90869e-28,-0.656019
-0.0131271,-0.729606
0.0131271,-0.729606
-2.1826e-13,-1.02133e-13
0.455794,0.263153
0.606873,0.348709
0.640104,0.369564
0.605427,0.351213
0.211952,0.122371
-0.455794,0.263153
-0.605427,0.351213
-0.640104,0.369564
-0.606873,0.348709
-0.211952,0.122371
2.94826e-28,-0.526306
-0.00144528,-0.699922
-4.78862e-28,-0.739128
0.00144528,-0.699922
4.23634e-30,-0.244742
0.500605,0.289025
0.593492,0.342653
0.639568,0.355437
0.627602,0.376164
0.285417,0.164785
-0.285417,0.164785
-0.593492,0.342653
-0.627602,0.376164
-0.639568,0.355437
-0.500605,0.289025
3.06534e-45,-9.41497e-46
-7.41437e-30,-0.578049
-0.0119665,-0.731601
0.0119665,-0.731601
-1.13822e-27,-0.685306
1.57372e-47,-0.329571
0.359271,0.207425
0.623266,0.343982
0.640067,0.369543
0.60953,0.367773
0.52376,0.302393
-3.76852e-15,4.57551e-13
-0.52376,0.302393
-0.60953,0.367773
-0.640067,0.369543
-0.623266,0.343982
-0.359271,0.207425
5.11606e-30,-0.41485
2.27717e-113,-0.604786
-0.0137362,-0.711755
1.32029e-26,-0.739085
0.0137362,-0.711755
2.32907e-15,-2.82782e-13
0.40638,0.234624
0.605067,0.349336
0.640414,0.356951
0.629335,0.37614
0.552087,0.318748
0.180995,0.104498
-0.40638,0.234624
-0.605067,0.349336
-0.629335,0.37614
-0.640414,0.356951
-0.552087,0.318748
-0.180995,0.104498
2.88385e-29,-0.469248
-1.95384e-26,-0.698671
-0.011079,-0.73309
0.011079,-0.73309
3.6226e-29,-0.637495
-4.96944e-31,-0.208996
0.563018,0.325058
0.62925,0.346389
0.640048,0.369532
0.614607,0.371752
0.450725,0.260226
0.250127,0.144411
-0.250127,0.144411
-0.563018,0.325058
-0.614607,0.371752
-0.640048,0.369532
-0.62925,0.346389
-0.450725,0.260226
-0.0146435,-0.718141
2.44498e-28,-0.520452
-2.44328e-37,-1.36743e-37
1.1819e-25,-0.739063
0.0146435,-0.718141
-2.41788e-27,-0.650117
-2.1771e-29,-0.288822
0.480481,0.277406
0.58426,0.337323
0.640991,0.358262
0.63076,0.375983
0.609182,0.351711
0.318064,0.183635
2.35629e-13,3.48544e-13
-0.480481,0.277406
-0.609182,0.351711
-0.63076,0.375983
-0.640991,0.358262
-0.58426,0.337323
-0.318064,0.183635
-4.7913e-29,-0.367269
-1.46812e-25,-0.674646
-5.71685e-25,-0.703423
-0.0102311,-0.734246
0.0102311,-0.734246
-3.8676e-27,-0.554812
-1.45627e-13,-2.15412e-13
0.365412,0.21097
0.646294,0.132406
0.495984,0.216078
0.437814,0.493504
0.435121,0.321495
0.158048,0.091249
-0.365412,0.21097
-0.437814,0.493504
-0.435121,0.321495
-0.646294,0.132406
-0.495984,0.216078
-0.158048,0.091249
2.54704e-32,-0.421941
-0.20848,-0.62591
-0.0608625,-0.537574
0.20848,-0.62591
0.0608625,-0.537574
-2.86986e-41,-0.182498
